Kode,nama,JobType,JobTypeDesc,KategoriPekerjaan,HargaJual,WaktuKerja,SatuanKerja,Catatan,StatusAktif
JS00094,KENTENG VELG,LR,Light Repair,PERBAIKAN,95000,40,Minute,,Aktif
JS00095,BP ACCESSORIES COVER COVER,LR,Light Repair,PERBAIKAN,55000,20,Minute,,Aktif
JS00096,B/P DINAMO STATER BROSTEL,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00097,SETTING BOSH KLEP ,LR,Light Repair,PERBAIKAN,65000,20,Minute,,Aktif
JS00098,B/P SWITCH REM,LR,Light Repair,PERBAIKAN,25000,15,Minute,,Aktif
JS00099,B/P KABEL GAS KABEL KOPLING KABEL REM,LR,Light Repair,PERBAIKAN,35000,15,Minute,,Aktif
JS00100,B/P TROMOL,LR,Light Repair,PERBAIKAN,55000,20,Minute,,Aktif
JS00101,REPAIR MOGOK,LR,Light Repair,PERBAIKAN,35000,10,Minute,,Aktif
JS00102,B/P KUNCI KONTAK ,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00106,B/P BOSH SWING ARM,LR,Light Repair,PERBAIKAN,45000,30,Minute,,Aktif
